scenario,algorithm,architecture,nodes,edges,max_degree,colors,rounds,runtime_ms,coordinator_bottleneck
Co-located Datacenter,Luby-MIS,DISTRIBUTED,29,105,9,10,10,58.310914478074075,0.0
Co-located Datacenter,Greedy Sequential,CENTRALIZED,29,105,9,10,29,73.805,4.205
Co-located Datacenter,Genetic Algorithm,CENTRALIZED,29,105,9,9,50,468.9,97.5
Co-located Datacenter,First-Fit,CENTRALIZED,29,105,9,10,29,55.00333333333334,2.8033333333333337
Distributed Cloud,Luby-MIS,DISTRIBUTED,29,105,9,10,10,473.66828956148146,0.0
Distributed Cloud,Greedy Sequential,CENTRALIZED,29,105,9,10,29,964.25,42.05
Distributed Cloud,Genetic Algorithm,CENTRALIZED,29,105,9,9,50,1321.5,97.5
Distributed Cloud,First-Fit,CENTRALIZED,29,105,9,10,29,932.8333333333333,28.033333333333335
Geo-distributed Edge,Luby-MIS,DISTRIBUTED,29,105,9,10,10,2222.541447807407,0.0
Geo-distributed Edge,Greedy Sequential,CENTRALIZED,29,105,9,10,29,4686.4,168.2
Geo-distributed Edge,Genetic Algorithm,CENTRALIZED,29,105,9,9,50,4917.5,97.5
Geo-distributed Edge,First-Fit,CENTRALIZED,29,105,9,10,29,4612.933333333333,112.13333333333334
