scenario,algorithm,architecture,nodes,edges,max_degree,colors,rounds,runtime_ms,coordinator_bottleneck
Co-located Datacenter,Luby-MIS,DISTRIBUTED,20,49,7,8,8,44.12674833210577,0.0
Co-located Datacenter,Greedy Sequential,CENTRALIZED,20,49,7,8,20,50.0,2.0
Co-located Datacenter,Genetic Algorithm,CENTRALIZED,20,49,7,5,50,454.5,97.5
Co-located Datacenter,First-Fit,CENTRALIZED,20,49,7,8,20,37.33333333333333,1.3333333333333333
Distributed Cloud,Luby-MIS,DISTRIBUTED,20,49,7,8,8,331.53496664211536,0.0
Distributed Cloud,Greedy Sequential,CENTRALIZED,20,49,7,8,20,656.0,20.0
Distributed Cloud,Genetic Algorithm,CENTRALIZED,20,49,7,5,50,1042.5,97.5
Distributed Cloud,First-Fit,CENTRALIZED,20,49,7,8,20,637.3333333333333,13.333333333333332
Geo-distributed Edge,Luby-MIS,DISTRIBUTED,20,49,7,8,8,1541.674833210577,0.0
Geo-distributed Edge,Greedy Sequential,CENTRALIZED,20,49,7,8,20,3196.0,80.0
Geo-distributed Edge,Genetic Algorithm,CENTRALIZED,20,49,7,5,50,3522.5,97.5
Geo-distributed Edge,First-Fit,CENTRALIZED,20,49,7,8,20,3157.3333333333335,53.33333333333333
